,date,total_tp,country
255,2024-09-11,0.0,PL
256,2024-09-12,0.0,PL
257,2024-09-13,0.0,PL
258,2024-09-14,0.0,PL
259,2024-09-15,0.0,PL
260,2024-09-16,0.0,PL
261,2024-09-17,0.0,PL
262,2024-09-18,0.0,PL
263,2024-09-19,0.0,PL
264,2024-09-20,0.0,PL
265,2024-09-21,0.0,PL
266,2024-09-22,0.0,PL
267,2024-09-23,0.0,PL
268,2024-09-24,0.0,PL
269,2024-09-25,0.0,PL
270,2024-09-26,0.0,PL
271,2024-09-27,0.0,PL
272,2024-09-28,0.0,PL
273,2024-09-29,0.0,PL
274,2024-09-30,0.0,PL
275,2024-10-01,0.0,PL
276,2024-10-02,0.0,PL
277,2024-10-03,0.0,PL
278,2024-10-04,0.0,PL
279,2024-10-05,0.0,PL
280,2024-10-06,0.0,PL
281,2024-10-07,0.0,PL
282,2024-10-08,0.0,PL
283,2024-10-09,0.0,PL
284,2024-10-10,0.0,PL
285,2024-10-11,0.0,PL
286,2024-10-12,0.0,PL
287,2024-10-13,0.0,PL
288,2024-10-14,0.0,PL
289,2024-10-15,0.0,PL
290,2024-10-16,0.0,PL
291,2024-10-17,0.0,PL
292,2024-10-18,5.757576e-05,PL
293,2024-10-19,0.00010504882,PL
294,2024-10-20,0.0,PL
295,2024-10-21,0.0,PL
296,2024-10-22,0.0,PL
297,2024-10-23,9.158347e-05,PL
298,2024-10-24,3.3965334e-06,PL
299,2024-10-25,0.0,PL
300,2024-10-26,0.0,PL
301,2024-10-27,0.0,PL
302,2024-10-28,0.0,PL
303,2024-10-29,0.0,PL
304,2024-10-30,0.0,PL
305,2024-10-31,0.0,PL
306,2024-11-01,0.0,PL
307,2024-11-02,0.0,PL
308,2024-11-03,0.0,PL
309,2024-11-04,0.0,PL
310,2024-11-05,0.0,PL
311,2024-11-06,0.0,PL
312,2024-11-07,0.0,PL
313,2024-11-08,0.0,PL
314,2024-11-09,0.0,PL
315,2024-11-10,0.0,PL
316,2024-11-11,0.0,PL
317,2024-11-12,0.0,PL
318,2024-11-13,0.0,PL
319,2024-11-14,0.0,PL
320,2024-11-15,0.0,PL
321,2024-11-16,0.0,PL
322,2024-11-17,0.0,PL
323,2024-11-18,0.0,PL
324,2024-11-19,0.0,PL
325,2024-11-20,0.0,PL
326,2024-11-21,2.8805083e-05,PL
327,2024-11-22,0.0,PL
328,2024-11-23,0.0,PL
329,2024-11-24,0.0,PL
330,2024-11-25,0.0,PL
331,2024-11-26,0.0,PL
332,2024-11-27,0.0,PL
333,2024-11-28,0.0,PL
334,2024-11-29,7.851311e-06,PL
335,2024-11-30,0.0,PL
336,2024-12-01,0.0,PL
337,2024-12-02,0.0,PL
